date,adult_icu_crci_patients
2021-06-25,281
2021-06-26,281
2021-06-27,285
2021-06-28,283
2021-06-29,273
2021-06-30,269
2021-07-01,253
2021-07-02,251
2021-07-03,242
2021-07-04,234
2021-07-05,227
2021-07-06,225
2021-07-07,219
2021-07-08,214
2021-07-09,201
2021-07-10,196
2021-07-11,201
2021-07-12,203
2021-07-13,191
2021-07-14,179
2021-07-15,167
2021-07-16,157
2021-07-17,148
2021-07-18,148
2021-07-19,149
2021-07-20,148
2021-07-21,144
2021-07-22,139
2021-07-23,135
2021-07-24,131
2021-07-25,126
2021-07-26,130
2021-07-27,126
2021-07-28,121
2021-07-29,120
2021-07-30,116
2021-07-31,111
2021-08-01,109
2021-08-02,107
2021-08-03,105
2021-08-04,107
2021-08-05,109
2021-08-06,109
2021-08-07,110
2021-08-08,114
2021-08-09,112
2021-08-10,107
2021-08-11,106
2021-08-12,111
2021-08-13,110
2021-08-14,110
2021-08-15,115
2021-08-16,118
2021-08-17,126
2021-08-18,126
2021-08-19,129
2021-08-20,133
2021-08-21,128
2021-08-22,139
2021-08-23,149
2021-08-24,155
2021-08-25,160
2021-08-26,164
2021-08-27,157
2021-08-28,160
2021-08-29,156
2021-08-30,158
2021-08-31,156
2021-09-01,160
2021-09-02,161
2021-09-03,168
2021-09-04,171
2021-09-05,178
2021-09-06,186
2021-09-07,191
2021-09-08,192
2021-09-09,184
2021-09-10,175
2021-09-11,178
2021-09-12,182
2021-09-13,188
2021-09-14,190
2021-09-15,186
2021-09-16,189
2021-09-17,192
2021-09-18,184
2021-09-19,181
2021-09-20,176
2021-09-21,178
2021-09-22,185
2021-09-23,190
2021-09-24,190
2021-09-25,175
2021-09-26,174
2021-09-27,182
2021-09-28,177
2021-09-29,169
2021-09-30,168
2021-10-01,161
2021-10-02,160
2021-10-03,161
2021-10-04,158
2021-10-05,154
2021-10-06,155
2021-10-07,148
2021-10-08,152
2021-10-09,152
2021-10-10,151
2021-10-11,153
2021-10-12,147
2021-10-13,152
2021-10-14,158
2021-10-15,163
2021-10-16,163
2021-10-17,162
2021-10-18,166
2021-10-19,158
2021-10-20,158
2021-10-21,160
2021-10-22,148
2021-10-23,135
2021-10-24,136
2021-10-25,137
2021-10-26,137
2021-10-27,133
2021-10-28,132
2021-10-29,130
2021-10-30,132
2021-10-31,133
2021-11-01,133
2021-11-02,136
2021-11-03,136
2021-11-04,129
2021-11-05,129
2021-11-06,130
2021-11-07,126
2021-11-08,127
2021-11-09,134
2021-11-10,136
2021-11-11,132
2021-11-12,130
2021-11-13,130
2021-11-14,132
2021-11-15,140
2021-11-16,138
2021-11-17,131
2021-11-18,127
2021-11-19,126
2021-11-20,131
2021-11-21,133
2021-11-22,131
2021-11-23,133
2021-11-24,135
2021-11-25,135
2021-11-26,138
2021-11-27,132
2021-11-28,133
2021-11-29,146
2021-11-30,151
2021-12-01,153
2021-12-02,153
2021-12-03,144
2021-12-04,159
2021-12-05,163
2021-12-06,167
2021-12-07,164
2021-12-08,154
2021-12-09,154
2021-12-10,150
2021-12-11,144
2021-12-12,157
2021-12-13,160
2021-12-14,162
2021-12-15,154
2021-12-16,165
2021-12-17,157
2021-12-18,154
2021-12-19,159
2021-12-20,164
2021-12-21,165
2021-12-22,168
2021-12-23,168
2021-12-24,162
2021-12-25,164
2021-12-26,166
2021-12-27,174
2021-12-28,185
2021-12-29,187
2021-12-30,197
2021-12-31,203
2022-01-01,211
2022-01-02,221
2022-01-03,245
2022-01-04,263
2022-01-05,285
2022-01-06,314
2022-01-07,333
2022-01-08,377
2022-01-09,405
2022-01-10,429
2022-01-11,468
2022-01-12,497
2022-01-13,489
2022-01-14,515
2022-01-15,549
2022-01-16,570
2022-01-17,569
2022-01-18,572
2022-01-19,580
2022-01-20,583
2022-01-21,577
2022-01-22,591
2022-01-23,596
2022-01-24,605
2022-01-25,615
2022-01-26,598
2022-01-27,591
2022-01-28,598
2022-01-29,588
2022-01-30,578
2022-01-31,572
2022-02-01,558
2022-02-02,546
2022-02-03,533
2022-02-04,509
2022-02-05,494
2022-02-06,480
2022-02-07,479
2022-02-08,466
2022-02-09,444
2022-02-10,442
2022-02-11,429
2022-02-12,407
2022-02-13,395
2022-02-14,386
